Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
07-20-2011	1449	List of References cited by applicant and considered by examiner	PRIOR ART	1	12900011-2011-07-20-00001-1449.pdf
05-12-2011	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	1	12900011-2011-05-12-00003-IDS.pdf
05-12-2011	N417	EFS Acknowledgment Receipt	PROSECUTION	2	12900011-2011-05-12-00002-N417.pdf
05-12-2011	TRAN.LET	Transmittal Letter	PROSECUTION	2	12900011-2011-05-12-00001-TRAN.LET.pdf
04-26-2011	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	1	12900011-2011-04-26-00005-IDS.pdf
04-26-2011	XT/	Extension of Time	PROSECUTION	2	12900011-2011-04-26-00004-XT-.pdf
04-26-2011	A...	Amendment/Req. Reconsideration-After Non-Final Reject	PROSECUTION	1	12900011-2011-04-26-00003-A....pdf
04-26-2011	REM	Applicant Arguments/Remarks Made in an Amendment	PROSECUTION	3	12900011-2011-04-26-00002-REM.pdf
04-26-2011	TRAN.LET	Transmittal Letter	PROSECUTION	2	12900011-2011-04-26-00001-TRAN.LET.pdf
12-23-2010	CTNF	Non-Final Rejection	PROSECUTION	5	12900011-2010-12-23-00005-CTNF.pdf
12-23-2010	892	List of references cited by examiner	PRIOR ART	2	12900011-2010-12-23-00004-892.pdf
12-23-2010	BIB	Bibliographic Data Sheet	PROSECUTION	1	12900011-2010-12-23-00003-BIB.pdf
12-23-2010	1449	List of References cited by applicant and considered by examiner	PRIOR ART	2	12900011-2010-12-23-00002-1449.pdf
12-23-2010	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	12900011-2010-12-23-00001-SRFW.pdf
10-22-2010	APP.FILE.REC	Filing Receipt	PROSECUTION	3	12900011-2010-10-22-00001-APP.FILE.REC.pdf
10-07-2010	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	2	12900011-2010-10-07-00017-IDS.pdf
10-07-2010	FOR	Foreign Reference	PRIOR ART	25	12900011-2010-10-07-00016-FOR.pdf
10-07-2010	FOR	Foreign Reference	PRIOR ART	7	12900011-2010-10-07-00015-FOR.pdf
10-07-2010	NPL	Non Patent Literature	PRIOR ART	2	
10-07-2010	NPL	Non Patent Literature	PRIOR ART	12	
10-07-2010	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	12900011-2010-10-07-00012-WFEE.pdf
10-07-2010	N417	EFS Acknowledgment Receipt	PROSECUTION	3	12900011-2010-10-07-00011-N417.pdf
10-07-2010	SPEC	Specification	PROSECUTION	20	12900011-2010-10-07-00010-SPEC.pdf
10-07-2010	CLM	Claims	PROSECUTION	5	12900011-2010-10-07-00009-CLM.pdf
10-07-2010	ABST	Abstract	PROSECUTION	1	12900011-2010-10-07-00008-ABST.pdf
10-07-2010	DRW	Drawings-only black and white line drawings	PROSECUTION	7	12900011-2010-10-07-00007-DRW.pdf
10-07-2010	OATH	Oath or Declaration filed	PROSECUTION	2	12900011-2010-10-07-00006-OATH.pdf
10-07-2010	ADS	Application Data Sheet	PROSECUTION	3	12900011-2010-10-07-00005-ADS.pdf
10-07-2010	TRNA	Transmittal of New Application	PROSECUTION	1	12900011-2010-10-07-00004-TRNA.pdf
10-07-2010	LET.	Miscellaneous Incoming Letter	PROSECUTION	1	12900011-2010-10-07-00003-LET..pdf
10-07-2010	TRAN.LET	Transmittal Letter	PROSECUTION	2	12900011-2010-10-07-00002-TRAN.LET.pdf
10-07-2010	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	12900011-2010-10-07-00001-WFEE.pdf
